,Date,Close,High,Low,Open,Volume,Returns,Volatility,SMA_10,SMA_20,SMA_50,RSI,Upper_BB,Lower_BB,Close_Z_Score,Anomaly_IsoForest,Anomaly_DBSCAN,Color,Anomaly_IF,Anomaly_Autoencoder,Combined_Anomaly
20,2002-03-14,1.7674131393432617,1.78424570964316,1.753947147314258,1.7690964284787092,1696800,-0.0009513314259984584,0.02091476086527218,1.711697280406952,1.6766436219215393,,72.0000876292106,1.802439857316628,1.5508473865264505,-0.5719798244190344,1,0,blue,1,0,0
21,2002-03-15,1.7127069234848022,1.7758287990884638,1.6748337339117128,1.7674125169025294,1708000,-0.030952704062609415,0.022166019630752928,1.7199451923370361,1.6781164467334748,,59.999933344997956,1.804924066106496,1.5513088273604536,-0.5771945497810622,1,0,blue,1,0,0
22,2002-03-18,1.6243367195129395,1.71691553203789,1.603296087599418,1.71691553203789,2207200,-0.05159680431025415,0.025096099062715926,1.716578722000122,1.6755915641784669,,48.11319494108227,1.8046650275283833,1.5465181008285505,-0.5856182057892191,1,0,blue,1,0,0
23,2002-03-19,1.5738390684127808,1.6411690150768252,1.5654227849479614,1.6369609536080432,3229600,-0.031088166938256778,0.024425058619254342,1.7119497776031494,1.6739083051681518,,45.94594939474184,1.8075187567030615,1.5402978536332421,-0.5904317608447568,1,0,blue,1,1,0
24,2002-03-20,1.516608715057373,1.5612147498649418,1.430762902387573,1.5612147498649418,9236000,-0.036363535830334026,0.024216632336167315,1.7007561802864075,1.6666282653808593,,41.26212179239914,1.817654331642915,1.5156021991188036,-0.5958870929388722,1,0,blue,1,1,0
25,2002-03-21,1.578047275543213,1.6201285362243654,1.5166086734752753,1.5166086734752753,4427200,0.04051048887947051,0.026211874950189677,1.6867010474205018,1.662630558013916,,45.331341813929455,1.818764563444198,1.506496552583634,-0.5900306246281977,1,0,blue,1,0,0
26,2002-03-22,1.6243367195129395,1.6487439295857196,1.5578484061403983,1.578047393514105,2494400,0.029333369593627756,0.026842478575605257,1.6732350587844849,1.6624201595783235,,47.08457218368021,1.8187587715335511,1.5060815476230958,-0.5856182057892191,1,0,blue,1,1,0
27,2002-03-25,1.6596847772598267,1.6672594166311387,1.6142371015592154,1.6411690813117645,7571200,0.0217615333829837,0.027229576145618193,1.6610314846038818,1.6633459329605103,,53.44069497845302,1.8193736701091017,1.5073181958119188,-0.5822487456586184,1,0,blue,1,1,0
28,2002-03-26,1.6815670728683472,1.691666645670883,1.6647346655671391,1.6832503617566472,1816800,0.013184609456169616,0.02736556116407234,1.6507636547088622,1.6653658211231233,,54.50643994243545,1.8212306197967196,1.5095010224495269,-0.5801628736951038,1,0,blue,1,1,0
29,2002-03-27,1.733747959136963,1.7674129353233832,1.674834130415276,1.6815671256525602,1369600,0.0310311061096169,0.027716012862029633,1.6472288370132446,1.6714676141738891,,51.37615652505371,1.8280417773313293,1.514893451016449,-0.5751888686982665,1,0,blue,1,0,0
30,2002-03-28,1.700082778930664,1.7337477510770907,1.691666495762245,1.7253314679086715,1714400,-0.019417574526263248,0.02817861427345305,1.6404958009719848,1.6760965406894683,,44.582037234248986,1.830162454134862,1.5220306272440747,-0.5783979129774984,1,0,blue,1,1,0
